id_rollo,fecha,codigo_tela,tipo,color,kg_rollo,observacion
241,2026-05-13 15:06:13.731538,1,MORLEY SOFT,GRIS MELANGE,22.6,
242,2026-05-13 15:06:13.731728,1,MORLEY SOFT,GRIS MELANGE,22.6,
243,2026-05-13 15:06:13.73191,1,MORLEY SOFT,GRIS MELANGE,22.6,
244,2026-05-13 15:06:13.732086,1,MORLEY SOFT,GRIS MELANGE,22.9,
245,2026-05-13 15:06:13.732281,1,MORLEY SOFT,GRIS MELANGE,22.2,
246,2026-05-13 15:06:13.73246,1,MORLEY SOFT,GRIS MELANGE,23,
247,2026-05-13 15:10:31.060391,1,MORLEY SOFT,OFF WHITE,23.1,
248,2026-05-13 15:10:31.060664,1,MORLEY SOFT,OFF WHITE,23.2,
249,2026-05-13 15:10:31.060863,1,MORLEY SOFT,OFF WHITE,22.7,
250,2026-05-13 15:10:31.061044,1,MORLEY SOFT,OFF WHITE,22.7,
251,2026-05-13 15:10:31.06122,1,MORLEY SOFT,OFF WHITE,22.8,
252,2026-05-13 15:10:31.061391,1,MORLEY SOFT,OFF WHITE,22.7,
253,2026-05-13 15:10:31.061565,1,MORLEY SOFT,OFF WHITE,23.1,
254,2026-05-13 15:10:31.061734,1,MORLEY SOFT,OFF WHITE,23,
255,2026-05-13 15:10:31.061915,1,MORLEY SOFT,OFF WHITE,22.7,
256,2026-05-13 15:10:31.062237,1,MORLEY SOFT,OFF WHITE,23,
257,2026-05-13 15:10:31.06247,1,MORLEY SOFT,OFF WHITE,23.2,
258,2026-05-13 15:10:31.062666,1,MORLEY SOFT,OFF WHITE,23,
259,2026-05-13 15:10:31.062848,1,MORLEY SOFT,OFF WHITE,23.1,
260,2026-05-13 15:10:31.063037,1,MORLEY SOFT,OFF WHITE,23,
261,2026-05-13 15:10:31.06325,1,MORLEY SOFT,OFF WHITE,23.1,
262,2026-05-13 15:10:31.063449,1,MORLEY SOFT,OFF WHITE,22.7,
263,2026-05-13 15:10:31.063724,1,MORLEY SOFT,OFF WHITE,23,
264,2026-05-13 15:10:31.064065,1,MORLEY SOFT,OFF WHITE,23.1,
265,2026-05-13 15:10:31.064309,1,MORLEY SOFT,OFF WHITE,23,
266,2026-05-13 15:10:31.064559,1,MORLEY SOFT,OFF WHITE,22.9,
267,2026-05-13 15:10:31.06475,1,MORLEY SOFT,OFF WHITE,20.9,
268,2026-05-13 15:10:31.064946,1,MORLEY SOFT,OFF WHITE,23,
269,2026-05-13 15:10:31.065135,1,MORLEY SOFT,OFF WHITE,22.3,
270,2026-05-13 15:10:31.065311,1,MORLEY SOFT,OFF WHITE,22.9,
271,2026-05-13 15:10:31.065486,1,MORLEY SOFT,OFF WHITE,22.9,
272,2026-05-13 15:10:31.065661,1,MORLEY SOFT,OFF WHITE,22.6,
273,2026-05-13 15:10:31.065839,1,MORLEY SOFT,OFF WHITE,23.4,
274,2026-05-13 15:10:31.066011,1,MORLEY SOFT,OFF WHITE,22.6,
275,2026-05-13 15:10:31.066187,1,MORLEY SOFT,OFF WHITE,20.9,
276,2026-05-13 15:10:31.066358,1,MORLEY SOFT,OFF WHITE,23,
277,2026-05-13 15:10:31.066528,1,MORLEY SOFT,OFF WHITE,22.8,
